Tarih,CPI_yoy_pct,USD_TRY_tcmb,EUR_TRY_tcmb
2022-05-01,73.4959501,15.65205556,16.55835556
2022-06-01,78.61839702,16.99527273,17.9916
2022-07-01,79.60205253,17.41873889,17.80490556
2022-08-01,80.20759404,18.02737727,18.2851
2022-09-01,83.4524936,18.3144,18.16135455
2022-10-01,85.51478642,18.59806667,18.28264762
2022-11-01,84.38925997,18.62438182,18.95455455
2022-12-01,64.2695975,18.67054545,19.74019091
2023-01-01,57.68248103,18.79137273,20.2321
2023-02-01,55.17982823,18.85721,20.23033
2023-03-01,50.50851074,19.00347826,20.3254087
2023-04-01,43.68416981,19.33703158,21.18698947
2023-05-01,39.58530094,19.71951429,21.46408571
2023-06-01,38.21351876,23.10604211,24.98921579
2023-07-01,47.83173331,26.4703381,29.2567
2023-08-01,58.9435337,26.99912727,29.4817
2023-09-01,61.52986465,26.98944762,28.87240952
2023-10-01,61.35701107,27.84611364,29.40964091
2023-11-01,61.98016606,28.63708182,30.90251818
2023-12-01,64.77291861,29.07485714,31.71488571
2024-01-01,64.85691495,30.05375,32.81328182
2024-02-01,67.06919192,30.75944762,33.19679524
2024-03-01,68.4953731,31.98674286,34.77627143
2024-04-01,69.80246762,32.32946667,34.69562222
2024-05-01,75.44594802,32.24788182,34.84510909
2024-06-01,71.59715594,32.52123529,35.04477059
2024-07-01,61.78100335,32.89449545,35.64064545
2024-08-01,51.97452782,33.62124762,36.97315238
2024-09-01,49.38499385,34.03046667,37.78311429
2024-10-01,48.58470879,34.23258182,37.40082273
2024-11-01,47.09272073,34.42661905,36.63851429
2024-12-01,44.37877142,34.96670455,36.64290909
2025-01-01,42.118023,35.51983182,36.78291818
2025-02-01,39.05095763,36.15905,37.64879
2025-03-01,38.10382945,37.0373,39.94242
2025-04-01,37.85866365,38.09029,42.72185
2025-05-01,35.40504415,38.75504,43.735155
2025-06-01,35.04865713,39.4101,45.34390526
2025-07-01,33.52240926,40.17835455,46.99797727
2025-08-01,32.9501822,40.80169524,47.41672857
2025-09-01,33.29401146,41.29347273,48.43992273
2025-10-01,32.86685572,41.80541818,48.68824545
2025-11-01,31.07484109,42.25516,48.83196
2025-12-01,30.89232832,42.66281304,49.93746957
2026-01-01,,43.19014286,50.65428095
2026-02-01,,43.664225,51.675895
2026-03-01,,44.137585,51.113545
